frameIndex,renderDurationMs,heapUsedMB,rssMB
583,53,7.28,158.95
584,58,7.37,166.87
585,58,6.67,103.56
586,54,6.75,111.48
587,51,6.84,119.39
588,53,6.93,127.30
589,52,7.02,135.22
590,53,7.10,143.13
591,63,7.19,151.05
592,56,7.28,158.96
593,60,7.37,166.88
594,132,6.67,103.56
595,97,6.75,111.48
596,93,6.84,119.39
597,110,6.93,127.30
598,61,7.02,135.22
599,51,7.10,143.13
600,73,7.21,151.05
601,73,7.29,158.96
602,65,7.38,166.88
603,62,6.68,103.57
604,76,6.77,111.48
605,69,6.85,119.39
606,69,6.96,127.18
607,52,7.05,135.09
608,85,7.14,143.01
609,50,7.22,150.92
610,51,7.31,158.84
611,54,7.40,166.78
612,76,6.70,103.48
613,55,6.79,111.39
614,53,6.87,119.30
615,54,6.96,127.22
616,58,7.05,135.13
617,53,7.14,143.05
618,58,7.22,150.96
619,55,7.31,158.88
620,59,7.40,166.79
621,70,6.70,103.48
622,53,6.79,111.39
623,57,6.88,119.31
624,50,6.96,127.22
625,59,7.05,135.14
626,51,7.14,143.05
627,121,7.22,150.97
628,74,7.31,158.88
629,63,7.40,166.80
630,60,6.70,103.48
631,63,6.79,111.40
632,64,6.88,119.31
633,48,6.96,127.23
634,49,7.05,135.14
635,50,7.14,143.05
636,53,7.23,150.97
637,57,7.31,158.88
638,53,7.40,166.80
639,57,6.70,103.48
640,53,6.79,111.40
641,50,6.88,119.31
642,57,6.96,127.23
643,53,7.05,135.14
644,51,7.14,143.05
645,50,7.23,150.97
646,52,7.31,158.88
647,58,7.40,166.80
648,53,6.69,103.48
649,55,6.78,111.40
650,53,6.87,119.31
651,59,6.96,127.23
652,49,7.04,135.14
653,50,7.13,143.05
654,50,7.22,150.97
655,50,7.30,158.88
656,58,7.39,166.80
657,52,6.69,103.04
658,54,6.78,110.96
659,52,6.87,118.87
660,50,6.95,126.79
661,61,7.04,134.70
662,51,7.13,142.61
663,51,7.22,150.53
664,52,7.30,158.44
665,57,7.39,166.45
666,54,6.69,103.13
667,53,6.78,111.05
668,54,6.87,118.96
669,55,6.96,126.88
670,54,7.04,134.79
671,52,7.13,142.70
672,54,7.22,150.62
673,54,7.30,158.53
674,54,7.39,166.45
675,65,6.69,103.14
676,53,6.78,111.05
677,56,6.87,118.96
678,53,6.96,126.88
679,58,7.04,134.79
680,52,7.13,142.71
681,53,7.22,150.62
682,57,7.31,158.54
683,56,7.39,166.45
684,56,6.70,103.14
685,55,6.78,111.05
686,54,6.87,118.96
687,54,6.96,126.88
688,58,7.04,134.79
689,55,7.13,142.71
690,69,7.22,150.63
691,63,7.31,158.54
692,89,7.39,166.45
693,75,6.70,103.14
694,55,6.78,111.06
695,56,6.87,118.97
696,67,6.96,126.89
697,60,7.05,134.80
698,65,7.13,142.71
699,58,7.22,150.63
700,64,7.31,158.54
701,57,7.39,166.46
702,58,6.70,103.14
703,52,6.78,111.06
704,58,6.87,118.97
705,123,6.96,126.89
706,47,7.05,134.80
707,49,7.13,142.71
708,55,7.22,150.63
709,51,7.31,158.54
710,54,7.39,166.46
711,57,6.70,103.14
712,59,6.79,111.06
713,55,6.87,118.97
714,54,6.96,126.89
715,49,7.05,134.80
716,53,7.13,142.71
717,53,7.22,150.63
718,50,7.31,158.54
719,57,7.40,166.46
720,60,6.70,103.14
721,65,6.79,111.06
722,61,6.87,118.97
723,53,6.96,126.89
724,55,7.05,134.80
725,52,7.13,142.71
726,58,7.22,150.63
727,52,7.31,158.54
728,55,7.40,166.46
729,58,6.70,103.14
730,54,6.79,111.06
731,57,6.87,118.97
732,52,6.96,126.89
733,52,7.05,134.80
734,62,7.14,142.72
735,56,7.22,150.63
736,53,7.31,158.55
737,53,7.40,166.46
738,54,6.70,103.15
739,53,6.79,111.06
740,62,6.87,118.98
741,66,6.96,126.89
742,51,7.05,134.80
743,51,7.14,142.72
744,55,7.22,150.63
745,53,7.31,158.55
746,55,7.40,166.46
747,52,6.70,103.15
748,59,6.79,111.06
749,69,6.88,118.98
750,68,6.96,126.89
751,67,7.05,134.80
752,53,7.14,142.72
753,65,7.22,150.63
754,84,7.31,158.55
755,60,7.40,166.46
756,53,6.70,103.15
757,54,6.79,111.06
